1 2 3 4
8 7 6 5
9 10 11 12
16 15 14 13

1 2 3 4
12 11 10 5
13 16 9 6
14 15 8 7

1 2 3 4
16 11 10 5
15 12 9 6
14 13 8 7

1 2 3 4
14 15 16 5
13 10 9 6
12 11 8 7

1 2 3 4
14 13 12 5
15 10 11 6
16 9 8 7

1 2 3 4
16 15 14 5
11 12 13 6
10 9 8 7

1 2 3 4
12 13 14 5
11 16 15 6
10 9 8 7

1 2 3 4
12 13 16 5
11 14 15 6
10 9 8 7

1 2 5 6
16 3 4 7
15 12 11 8
14 13 10 9

1 2 13 12
4 3 14 11
5 16 15 10
6 7 8 9

1 2 11 12
4 3 10 13
5 8 9 14
6 7 16 15

1 2 3 4
8 7 6 5
9 16 15 14
10 11 12 13

1 2 15 14
4 3 16 13
5 8 9 12
6 7 10 11

1 2 15 16
4 3 14 13
5 8 9 12
6 7 10 11

1 2 7 8
16 3 6 9
15 4 5 10
14 13 12 11

2 1 6 7
3 4 5 8
14 13 12 9
15 16 11 10

2 1 6 7
3 4 5 8
16 13 12 9
15 14 11 10

2 1 6 7
3 4 5 8
14 15 16 9
13 12 11 10

2 1 16 15
3 4 5 14
8 7 6 13
9 10 11 12

2 1 8 9
3 4 7 10
16 5 6 11
15 14 13 12

2 1 14 13
3 4 15 12
6 5 16 11
7 8 9 10

2 1 16 15
3 4 13 14
6 5 12 11
7 8 9 10

1 2 3 4
8 7 6 5
9 12 13 14
10 11 16 15

2 1 12 13
3 4 11 14
6 5 10 15
7 8 9 16

2 1 12 11
3 14 13 10
4 15 16 9
5 6 7 8

2 1 12 11
3 16 13 10
4 15 14 9
5 6 7 8

2 1 12 13
3 10 11 14
4 9 8 15
5 6 7 16

2 1 14 13
3 16 15 12
4 7 8 11
5 6 9 10

2 1 10 11
3 8 9 12
4 7 16 13
5 6 15 14

2 1 16 15
3 8 9 14
4 7 10 13
5 6 11 12

7 6 5 4
8 1 2 3
9 16 15 14
10 11 12 13

7 6 5 4
8 1 2 3
9 12 13 16
10 11 14 15

11 10 9 8
12 1 2 7
13 16 3 6
14 15 4 5

1 2 3 4
8 7 6 5
9 12 13 16
10 11 14 15

3 2 15 14
4 1 16 13
5 8 9 12
6 7 10 11

1 2 3 4
16 7 6 5
15 8 9 10
14 13 12 11

1 2 3 4
14 13 6 5
15 12 7 8
16 11 10 9

1 2 3 4
16 15 6 5
13 14 7 8
12 11 10 9

1 2 3 4
14 15 6 5
13 16 7 8
12 11 10 9

1 2 3 4
10 9 6 5
11 8 7 16
12 13 14 15

1 2 3 4
12 11 10 5
13 14 9 6
16 15 8 7
